ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2020-0055,1,2020-11-19,12.0,OLAZABAL AV. 5437,AVENIDA,False,12,-58.49005682,-34.5786897,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,91.0
2020-0056,1,2020-11-21,13.0,"PAZ, GRAL. AV. Y DOCTOR RAMON CARRILLO",GRAL PAZ,True,8,-58.47064556,-34.69843756,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,34.0
2020-0057,1,2020-11-23,7.0,"NAZCA AV. Y VIALE, LUIS",AVENIDA,True,11,-58.4750156,-34.61945902,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,84.0
2020-0058,1,2020-11-24,16.0,"OLIVERA AV. Y FALCON, RAMON L., CNEL.",AVENIDA,True,10,-58.48727942,-34.63652467,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,57.0
2020-0059,1,2020-12-01,6.0,BRASIL 1100,CALLE,False,1,-58.3795169,-34.62794241,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,49.0
2020-0060,1,2020-12-03,20.0,"HOMERO Y PERON, EVA AV.",AVENIDA,True,9,-58.47750832,-34.65672199,PEATON-MOTO,MOTO,PEATON,PEATON,FEMENINO,69.0
2020-0061,1,2020-12-03,14.0,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,True,13,-58.44927253,-34.54048625,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,45.0
2020-0062,1,2020-12-04,17.0,MORENO 1845,CALLE,False,3,-58.39246272,-34.61253541,BICICLETA-PASAJEROS,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,47.0
2020-0063,2,2020-12-05,7.0,NUEVA YORK Y ALTA GRACIA,CALLE,True,11,-58.52783814,-34.61047001,PEATON_MOTO-MOTO,MOTO,PEATON,PEATON,MASCULINO,38.0
2020-0063,2,2020-12-05,7.0,NUEVA YORK Y ALTA GRACIA,CALLE,True,11,-58.52783814,-34.61047001,PEATON_MOTO-MOTO,MOTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0
